date,transactions,active_addresses,volume,unique_senders,unique_receivers
2024-05-10,116,29,180780.90925899977,17,25
2024-05-10,95,25,336657.81165567477,16,18
2024-05-10,62,20,223957.24568822113,12,15
2024-05-10,63,14,17820.088766512898,8,13
2024-05-10,56,15,498203.6143234388,9,12
2024-05-10,83,22,1847740.4791647675,13,18
2024-05-10,89,24,522730.1078364043,16,20
2024-05-10,92,26,1436593.7947841203,13,21
2024-05-10,51,18,359229.85936531005,10,14
2024-05-10,130,20,2930395.982662703,14,19
2024-05-10,80,16,721797.7059176497,9,15
2024-05-10,138,19,364060.8155332527,13,17
2024-05-10,69,13,40247.78027049946,8,11
2024-05-10,104,21,58790.05173013092,13,17
2024-05-10,117,21,50657.29752696627,14,18
2024-05-10,117,19,69508.30885576802,12,15
2024-05-10,219,31,193132.1994281582,16,28
2024-05-10,135,13,48574.139955719045,9,13
2024-05-10,176,22,70369.85859421191,15,21
2024-05-10,113,13,35087.907059242745,7,13
2024-05-10,75,16,33269.38226216039,10,13
2024-05-11,67,10,11132.734897371158,4,10
2024-05-11,133,16,49833.15843418892,8,15
2024-05-11,161,18,81248.92340771701,13,15
2024-05-11,134,14,29239.17450845172,6,14
2024-05-11,163,29,194503.0827856663,21,24
2024-05-11,192,32,234468.2898557332,23,25
2024-05-11,265,43,632708.854658255,24,40
2024-05-11,229,49,2486830.788963496,26,43
2024-05-11,197,44,3127551.8590928973,23,36
2024-05-11,207,36,1167179.2146428002,20,30
2024-05-11,192,30,437646.76512977766,20,26
2024-05-11,285,51,1245174.316760965,31,46
2024-05-11,145,41,1370639.608424798,31,32
2024-05-11,135,31,544264.1832095854,20,28
2024-05-11,125,22,494628.21584894066,13,20
2024-05-11,112,20,293100.1735776496,12,18
2024-05-11,117,23,216469.86671772084,14,19
2024-05-11,161,32,224379.81262240824,20,26
2024-05-11,170,31,101894.32690870365,21,28
2024-05-11,110,25,134907.499025042,16,22
2024-05-11,139,24,1040072.4977606861,14,20
2024-05-11,152,22,425226.2818905301,15,19
2024-05-11,237,38,198646.26697360215,24,30
2024-05-11,234,26,2675842.2411574726,15,25
2024-05-11,204,32,227701.48586631764,21,28
2024-05-11,132,17,67646.30587322632,9,17
2024-05-11,127,21,450893.9984795935,8,21
2024-05-11,141,25,96039.68464940826,17,23
2024-05-11,167,33,150928.4216101534,21,28
2024-05-11,131,33,58686.3420425867,13,30
2024-05-11,150,25,50218.252947514906,12,22
2024-05-11,214,32,243343.31802850182,20,29
2024-05-11,203,36,451762.8963758888,22,31
2024-05-11,156,27,149145.4020672466,10,25
2024-05-11,236,25,195920.62358082,11,24
2024-05-11,230,25,168819.6022673781,13,24
2024-05-11,253,23,310795.7962226014,16,21
2024-05-11,340,37,3308952.7762072193,28,32
2024-05-11,254,22,361061.87429899414,15,20
2024-05-11,268,22,73431.08887877615,14,21
